"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_failure_with_attachments","Artefakt10","2026-06-20","failed","2026-06-20","TestAttachments","test_103_attachments","",""
"","1","test_login_success","","2026-06-20","passed","2026-06-20","TestMetaReporting","test_102_meta_reporting","",""
"","0","test_login_success","Artefakt10","2026-06-20","passed","2026-06-20","TestMetaReporting","test_102_meta_reporting","",""
"","3","test_failure_with_attachments","","2026-06-20","failed","2026-06-20","TestAttachments","test_103_attachments","",""
"","0","Test PASSED","","2026-06-20","passed","2026-06-20","TestAllureInit","test_101_allure_init","",""
"","1","test_fail_example","Artefakt10","2026-06-20","failed","2026-06-20","TestAllureInit","test_101_allure_init","",""
"","3","test_login_failure","Artefakt10","2026-06-20","passed","2026-06-20","TestMetaReporting","test_102_meta_reporting","",""
"","1","Test FAILED","","2026-06-20","failed","2026-06-20","TestAllureInit","test_101_allure_init","",""
"","1","test_login_failure","","2026-06-20","passed","2026-06-20","TestMetaReporting","test_102_meta_reporting","",""
"","1","test_pass_example","Artefakt10","2026-06-20","passed","2026-06-20","TestAllureInit","test_101_allure_init","",""
